text;polarity
-Me caes muy bien -Tienes que jugar más partidas al lol con Russel y conmigo -Por qué tan Otako, deja de ser otako -Haber si me muero;10
"@myendlesshazza a. que puto mal escribo b. me sigo surrando help 3. ha quedado raro el ""cómetelo"" ahí JAJAJAJA";-1
@estherct209 jajajaja la tuya y la d mucha gente seguro!! Pero yo no puedo sin mi melena me muero ;-1
Quiero mogollón a @AlbaBenito99 pero sobretodo por lo rápido que contesta a los wasaps ;1
Vale he visto la tia bebiendose su regla y me hs dado muchs grima ;-1
@Yulian_Poe @guillermoterry1 Ah. mucho más por supuesto! solo que lo incluyo. Me habías entendido mal ;1
Se ha terminado #Rio2016 Lamentablemente no arriendo las ganancias al pueblo brasileño por la penuria que les espera Suerte y solidaridad;-1
11. siiii fue super gracioso teniamos que habernos sacado una foto ;1
@toNi_end seria mejor que dejasen de emitir esa basura ya  hay que evolucionar para bien y eso;-1
@jonoro96 te mandaria a comprarte un burro, pero no creo que hayan tiendas abiertas ahora ;-1
Mg y pongo un adjetivo super repelente a vuestro nombre ;-1
@hywzz la voz de María al final me mata JAJAJSJAJAJAJ quilla y yo que ;-1
@EduGalan14  Jaja.Es de bien nacidos ser agradecidos que diría aquel.Tiene el récord de puntos del VCF.Creo q cumplió con lo que había.;1
@misscatingcat Bueno, al menos has acabado la noche con una hermosa vista  Ami tambien me gusta verlos por la noche ^^;1
@mendescodes @heroinseb enserio cuando habéis dicho que los froot loops están malos me ha dolido... ;-1
@Sakura_Abril Ow Bueno, no pasa nada, cuando puedas confirmarlo, estoy aquí 😊 Y si no pudieras de cosplay pero sí a la expo, +;1
Aunque pensaba que no podría hacerlo hasta el mes de octubre, el lunes próximo volveré a ver a mi familia de #Mataró *.*   #felicidad;1
Oye @luciaskaa te pones a hablar con @josecs02 como en los viejos tiempos y no avisas  @JuanAlfonso251 @CrisDazGar;-1
@JCLilGangster yo tengo que aguantar 4 niños pequeños, no sé que es peor ;-1
@tejecristal 765 emberda Y porque estoy dedicandome a otros supps últimamente ;10
@Yosmath @Planeta87Radio  #Incantus  Genial ya estoy conectada ;1
Es muy raro el sentimiento que tengo ahora, aunque en fin... Qué más dará ;0
"@pabloserrano @JesusBengoechea Madrid tiene la cultura propia de los que ""no tiene cultura propia"". Vamos, como los romanos en su tiempo ";-1
Gracias por los ánimos! He dormido un poco más, me he tomado una pastilla y ha bajado a 36 y medio, pero aún me noto rara ;-1
@KunMadera pues date unas cuantas horas, que es muy temprano ;0
@xZ4dry @xSLGY Tienes pinta buena gente por lo q veo, t he conocio gracias a qt ;1
@achocoblog ... bueno, desierta, desierta, no, con algunos seres feéricos  ;1
@policia 2 horas esperando en Comisaría Gandia y han atendido a 3 personas! Y solamente para una autorización de viaje a un menor. ;-1
@angeleta1973 @elespanolcom No he visto su DNI o Pasaporte pero presume de serlo aunque es muy,demasiado,peculiar y poco caritativa   ;-1
@AlbGarD Oh  ¿Me estás llamando gordo? JAJAJA Grazie ruliño  Lo mismo puedo decir ;-1
@BarrosNerea Tú siempre sexy Nerea!! Qué tengas un maravilloso día! Besitos! ;1
@seestrena #seestrenasietevidas Sería un gato tipo Garfield porqué soy un poco vago y porqué me encanta la lasaña!! ;1
@prxttytimebomb @emimartinez_98 Si es que odio a muerte a la nueva Harley que quieres ;-1
@WINTERSCLIFF0RD ni tu como soportas el calor sevillano hija mía ;-1
@joseche_jagg @adsuara +10000, cremos una agencia de contratación de temporales, a ver cómo se vende a los sindicatos ;10
.@soyalt_es estaremos atentas a las novedades futuras. ¡El final del verano no será igual sin vosotros! ;-1
Ayer me quedé dormido xdddd lo peor esque sigo reventado ;-1
Confirmao tengo el pie roto, he notado como el puto hueso se movía ;-1
@lmg muchísimas gracias Luis  Tú también eres un ejemplo de constancia y buen trabajo, espero que os vaya todo genial!;1
Tengo una adicción muy seria al burguer King necesito ayuda profesional ;-1
Me dice un pajarito que ahora mismo no puede reservar en la web de BiBo, lo nuevo de @danigarcia_ca. Espero que sea por la demanda. ;-1
@cobos_rebeca A ti por responder! Espero y deseo que te salgan nuevos proyectos!! Besitos!! ;1
@PUUNISSHER @KingKongJulen @xCoorsa @Yuniiiiitoo @YouTube oye corsa  que yo no he jugado contra puni en lan;10
Estoy preparando muchas cosas para que el especial sea muy especial ;1
